model,U,included_groups,group_dims,projection_dim,transport_dim,hfull_spread_included,hfull_gap_to_next,max_transport_splitting,min_gap_above_transport,adiabatic_lower_time,degeneracy_upper_time,adiabatic_window_ratio,suggested_geometric_mean_time,requested_T,T_in_simple_window,holonomy_unitarity_error,loop_closure_error,ab_desired_coeff,ab_relative_residual,ac_desired_coeff,ac_relative_residual,max_exchange_error_raw,max_exchange_error_normalized,off_block_leakage_raw,off_block_leakage_normalized,odd_target_error_raw,odd_target_error_normalized,even_target_error_raw,even_target_error_normalized
ideal_projected_majorana,0.0,0-0,8,8,4,0.006083569165831193,1.4503486424782164,7.038813976123492e-14,1.414411243363145,0.707007954505671,14206938887604.088,20094454096400.316,3169293.107731129,1000.0,True,3.749641209726578e-15,9.080398155117723e-05,-0.9857729490318717,1.2489130810284797e-07,-0.9857729490318717,1.2489130711737024e-07,0.0037164545830907533,0.0018582272915453767,1.982651428411724e-13,9.91325714205862e-14,1.3380595703074817e-06,9.461509957959782e-07,1.3380595699349917e-06,9.46150995532588e-07
ideal_projected_majorana,0.0,0-1,8+24,32,16,1.4625157808098788,1.4503486424782128,7.30526750203353e-14,1.4144112433631424,0.7070079545056723,13688752666779.623,19361525679510.297,3110957.5732680648,1000.0,True,1.853839032997455e-14,0.00018160796310274707,-0.4928864745159356,0.8666855391646613,-0.4928864745159358,0.866685539164661,0.007432909166179047,0.0018582272915447617,3.5315422875412057e-13,8.828855718853014e-14,2.676119141296286e-06,9.461509960368622e-07,2.676119140234653e-06,9.461509956615183e-07
ideal_projected_majorana,0.0,0-2,8+24+24,56,28,2.9189479924539263,0.3847365724045446,7.394085344003543e-14,1.4144112433631413,0.7070079545056729,13524323205316.805,19128954800477.125,3092216.6944547463,1000.0,True,2.1650604730602644e-14,0.00024024475323961583,-0.14082470700455288,0.9898238588910431,-0.1408247070045532,0.989823858891043,0.009832814585719192,0.0018582272915443987,4.2193489870044377e-13,7.973820081575744e-14,3.5401728640438973e-06,9.461509962290364e-07,3.540172863013293e-06,9.461509959535957e-07
ideal_projected_majorana,0.0,0-3,8+24+24+24,80,40,3.3097681340243015,1.0595285009078412,1.5087930904655877e-13,1.4144112433630651,0.707007954505711,6627814021148.633,9374454670431.994,2164697.954435345,1000.0,True,2.7085319929579534e-14,0.0002871474023145177,-0.19715458980637413,0.9800300324764204,-0.19715458980637435,0.9800300324764204,0.011752461303131621,0.0018582272915443241,6.605206223112093e-13,1.0443748040076263e-13,4.231315889552748e-06,9.461509963314937e-07,4.231315887403634e-06,9.461509958509372e-07
ideal_projected_majorana,0.1,0-0,8,8,4,0.00028177181170097043,1.7650005142352834,2.272737553710158e-12,1.4144112433609413,0.7070079545067726,439998009610.7172,622338131849.834,557747.3377452594,1000.0,True,3.920829691591092e-15,9.080398155141476e-05,-0.9993909069616833,3.590208715609929e-07,-0.9993909069616834,3.590208717419813e-07,0.003716454583088836,0.001858227291544418,6.4282107800441774e-12,3.2141053900220887e-12,1.338059568222714e-06,9.461509943218248e-07,1.338059569482144e-06,9.461509952123763e-07
ideal_projected_majorana,0.1,0-1,8+24,32,16,1.7655431468173335,0.5062490730463578,3.2066571620248396e-12,1.4144112433600071,0.7070079545072395,311851236185.3337,441085894716.25305,469554.368104426,1000.0,True,1.9470979831505033e-14,0.00018160796310304387,-0.49948819039410663,0.8662626754923143,-0.49948819039410725,0.8662626754923141,0.007432909166178435,0.0018582272915446088,1.4359787250724766e-11,3.5899468126811916e-12,2.6761191380014762e-06,9.461509948719709e-07,2.6761191391432762e-06,9.461509952756582e-07
ideal_projected_majorana,0.1,0-2,8+24+24,56,28,2.272100565054786,1.258464007039184,3.2075453404445398e-12,1.414411243360007,0.7070079545072396,311764883691.8415,440963756778.5655,469489.3531339729,1000.0,True,2.3754526218199235e-14,0.0002402447532396568,-0.42794053047044756,0.9037521950224414,-0.42794053047044794,0.9037521950224411,0.009832814585720667,0.0018582272915446773,1.701074117738786e-11,3.214727912303882e-12,3.5401728595270386e-06,9.461509950218551e-07,3.5401728596312237e-06,9.461509950496997e-07
ideal_projected_majorana,0.1,0-3,8+24+24+24,80,40,3.530804521822965,0.506269984087711,3.2074343181420772e-12,1.4144112433600067,0.7070079545072397,311775675138.1444,440979020321.54834,469497.4785284083,1000.0,True,2.8767378139603293e-14,0.00028714740231445136,-0.19953777377716508,0.9798882896883595,-0.1995377737771653,0.9798882896883595,0.01175246130313606,0.001858227291545026,2.2252406361492303e-11,3.5184143760967917e-12,4.231315886610627e-06,9.461509956736153e-07,4.231315887369099e-06,9.461509958432149e-07
ideal_projected_majorana,2.0,0-0,8,8,4,0.004578750668006393,1.9648577986758653,4.0589753780295723e-13,1.4144112433628098,0.7070079545058386,2463675944951.037,3484650956541.241,1319787.2898331275,1000.0,True,4.999714501515757e-15,9.080398155164452e-05,-1.0539274744027785,0.014662681654446107,-1.0539274744027785,0.01466268165444493,0.003716454583088196,0.001858227291544098,1.145415624634297e-12,5.727078123171485e-13,1.3380595725906048e-06,9.461509974103901e-07,1.3380595711237006e-06,9.461509963731321e-07
ideal_projected_majorana,2.0,0-1,8+24,32,16,1.9742936531819364,0.9425649779256666,4.072298054325074e-13,1.414411243362808,0.7070079545058395,2455615936407.0317,3473250789834.9956,1317626.6543490523,1000.0,True,1.7626801928666872e-14,0.00018160796310293407,-0.5097185255734047,0.8884663873472981,-0.5097185255734049,0.8884663873472984,0.007432909166177684,0.001858227291544421,2.1045539077640455e-12,5.261384769410114e-13,2.6761191412985765e-06,9.46150996037672e-07,2.6761191405528555e-06,9.461509957740197e-07
ideal_projected_majorana,2.0,0-2,8+24+24,56,28,2.9229969257636217,1.0158761729241395,4.0800696154974503e-13,1.4144112433628075,0.7070079545058398,2450938572718.637,3466635074044.8325,1316371.1736882064,1000.0,True,2.2566314647982294e-14,0.00024024475323973488,-0.5022399057402563,0.8956108651224489,-0.5022399057402561,0.8956108651224495,0.009832814585718903,0.0018582272915443438,2.6622147629900372e-12,5.03111299965457e-13,3.5401728616759053e-06,9.461509955961639e-07,3.54017286092325e-06,9.461509953950083e-07
ideal_projected_majorana,2.0,0-3,8+24+24+24,80,40,3.94400855569587,0.942286624755603,4.078959392472825e-13,1.414411243362807,0.70700795450584,2451605676304.0264,3467578632856.493,1316550.3083660025,1000.0,True,2.917833599778041e-14,0.0002871474023145383,-0.2580164924894767,0.974831566468521,-0.2580164924894769,0.9748315664685213,0.011752461303133182,0.0018582272915445709,3.063722858502985e-12,4.844171176195599e-13,4.231315885895462e-06,9.461509955136995e-07,4.231315885724525e-06,9.46150995475477e-07
